Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
303,Dante Pettis,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,NO,new_orleans_saints,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
302,Cedrick Wilson Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,NO,new_orleans_saints,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
295,Nick Westbrook-Ikhine,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,6.0%,MIA,miami_dolphins,2020,2,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
294,K.J. Osborn,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,WAS,washington_commanders,2020,2,0.0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
293,James Proche Ii,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TEN,tennessee_titans,2020,2,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
290,Dan Chisena,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CAR,carolina_panthers,2020,2,0.0,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,Carolina Panthers
284,Ashton Dulin,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.1%,IND,indianapolis_colts,2020,2,3.35,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
283,Parris Campbell,0,0,0,0.0,0,0,0,1,7,0,0,1,0.7,0.7,0.1%,DAL,dallas_cowboys,2020,2,0.0,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Dallas Cowboys
282,Jakobi Meyers,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,85.1%,LV,las_vegas_raiders,2020,2,3.85,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
280,Trent Taylor,2,3,10,5.0,9,0,0,0,0,0,0,1,1.0,1.0,0.0%,SF,san_francisco_49ers,2020,2,4.85,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
279,Olamide Zaccheaus,1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,2.1%,CHI,chicago_bears,2020,2,5.35,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
276,Scotty Miller,2,3,11,5.5,6,0,0,1,1,0,0,1,1.2,1.2,0.1%,PIT,pittsburgh_steelers,2020,2,4.88,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
275,Mike Williams,2,4,14,7.0,8,0,0,0,0,0,0,1,1.4,1.4,14.1%,LAC,los_angeles_chargers,2020,2,6.05,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Los Angeles Chargers
270,Devin Duvernay,1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.1%,CHI,chicago_bears,2020,2,9.85,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
267,Brandon Aiyuk,2,3,21,10.5,13,0,0,0,0,0,0,1,2.1,2.1,71.9%,SF,san_francisco_49ers,2020,2,8.83,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
265,Tim Patrick,2,5,24,12.0,17,0,0,0,0,0,0,1,2.4,2.4,3.0%,DET,detroit_lions,2020,2,10.2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Detroit Lions
261,Demarcus Robinson,3,4,28,9.3,14,0,0,0,0,0,0,1,2.8,2.8,10.1%,SF,san_francisco_49ers,2020,2,10.84,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
260,Noah Brown,2,2,28,14.0,20,1,0,0,0,0,0,1,2.8,2.8,3.4%,WAS,washington_commanders,2020,2,11.9,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
