Rank,Player,Team Name,Score,FPTS,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,G,ROST,week,year
322,Tyler Bass,Buffalo Bills,25.0,6.0,1,1,100.0,28,0,1,0,0,0,3,3,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,8,2020
363,Joey Slye,Tennessee Titans,24.2,5.0,1,1,100.0,39,0,0,1,0,0,2,2,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,2.1%,8,2020
364,Harrison Butker,Kansas City Chiefs,3.5,5.0,0,0,0.0,0,0,0,0,0,0,5,5,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,8,2020
140,Daniel Carlson,Las Vegas Raiders,24.5,10.0,3,4,75.0,33,0,2,1,0,0,1,1,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,8,2020
365,Kai Forbath,Los Angeles Rams,14.5,5.0,1,2,50.0,23,0,1,0,0,0,2,2,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,2.0%,8,2020
234,Jason Myers,Seattle Seahawks,26.3,8.0,1,1,100.0,48,0,0,0,1,0,4,5,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,8,2020
43,Wil Lutz,Denver Broncos,28.9,14.0,4,5,80.0,39,0,1,3,0,0,2,2,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,1,34.5%,8,2020
71,Graham Gano,New York Giants,31.2,13.0,3,3,100.0,48,0,0,1,2,0,2,2,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,2.6%,9,2020
280,Daniel Carlson,Las Vegas Raiders,25.6,7.0,1,1,100.0,31,0,0,1,0,0,4,4,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,9,2020
44,Jason Sanders,Miami Dolphins,31.2,14.0,2,2,100.0,56,0,0,0,0,2,4,4,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,9,2020
116,Ka'Imi Fairbairn,Houston Texans,29.1,11.0,2,2,100.0,54,0,0,1,0,1,3,3,NRG Stadium,Indoor,Turf,50.0,2002.0,Houston,TX,29.6847,-95.4107,1,65.3%,9,2020
117,Brandon Mcmanus,Green Bay Packers,29.1,11.0,2,2,100.0,43,0,0,0,2,0,3,3,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,9,2020
118,Harrison Butker,Kansas City Chiefs,22.64,11.0,2,3,66.7,55,0,0,1,0,1,3,4,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,9,2020
87,Younghoe Koo,Atlanta Falcons,29.8,12.0,2,2,100.0,52,0,0,1,0,1,4,4,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,9,2020
