Rank,Player,ATT,Rush Yds,Y/A,LG,20+,Rush TD,REC,TGT,Rec Yds,Y/R,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
172,Reggie Gilliam,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,6.1,6.1,0.0%,BUF,buffalo_bills,2020,2,3.15,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
173,J.K. Dobbins,2,48,24.0,44,1,0,1,1,13,13.0,0,0,1,6.1,6.1,61.1%,DEN,denver_broncos,2020,2,28.55,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
142,Raheem Mostert,8,92,11.5,80,1,1,2,2,15,7.5,0,0,1,16.7,16.7,15.9%,LV,las_vegas_raiders,2020,2,52.88,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
140,Jonathan Taylor,26,101,3.9,13,0,1,2,2,9,4.5,0,0,1,17.0,17.0,98.3%,IND,indianapolis_colts,2020,2,57.74,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
174,Patrick Ricard,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,6.1,6.1,0.8%,BAL,baltimore_ravens,2020,2,3.15,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
184,Zack Moss,8,37,4.6,14,0,0,0,0,0,0.0,0,0,1,3.7,3.7,16.8%,CIN,cincinnati_bengals,2020,2,19.99,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
139,Miles Sanders,20,95,4.8,15,0,1,3,7,36,12.0,0,1,1,17.1,17.1,12.0%,DAL,dallas_cowboys,2020,2,54.62,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Dallas Cowboys
137,James Conner,16,106,6.6,59,1,1,2,2,15,7.5,0,0,1,18.1,18.1,92.9%,ARI,arizona_cardinals,2020,2,59.94,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
135,David Montgomery,16,82,5.1,23,1,0,3,3,45,15.0,1,0,1,18.7,18.7,94.0%,DET,detroit_lions,2020,2,48.92,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Detroit Lions
134,Christian Mccaffrey,18,59,3.3,9,0,2,4,5,29,7.3,0,0,1,20.8,20.8,98.5%,SF,san_francisco_49ers,2020,2,40.44,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
133,Kareem Hunt,10,86,8.6,33,1,1,2,2,15,7.5,1,0,1,22.1,22.1,30.4%,KC,kansas_city_chiefs,2020,2,52.64,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
131,Nick Chubb,22,124,5.6,26,2,2,1,1,9,9.0,0,0,1,25.3,25.3,39.7%,HOU,houston_texans,2020,2,72.39,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
130,Alvin Kamara,13,79,6.1,21,1,2,9,9,95,10.6,0,0,1,29.4,29.4,95.0%,NO,new_orleans_saints,2020,2,54.16,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
129,Aaron Jones Sr.,18,168,9.3,75,1,2,4,8,68,17.0,1,0,1,41.6,41.6,90.3%,MIN,minnesota_vikings,2020,2,100.8,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Minnesota Vikings
187,Saquon Barkley,4,28,7.0,18,0,0,0,0,0,0.0,0,0,1,2.8,2.8,99.0%,PHI,philadelphia_eagles,2020,2,15.45,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
193,Travis Homer,3,21,7.0,10,0,0,0,0,0,0.0,0,0,1,2.1,2.1,0.6%,CHI,chicago_bears,2020,2,11.85,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
200,A.J. Dillon,5,17,3.4,12,0,0,0,0,0,0.0,0,0,1,1.7,1.7,5.6%,PHI,philadelphia_eagles,2020,2,9.51,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
201,Alexander Mattison,3,13,4.3,11,0,0,1,2,3,3.0,0,0,1,1.6,1.6,8.8%,MIA,miami_dolphins,2020,2,7.69,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
204,Cam Akers,3,13,4.3,5,0,0,0,0,0,0.0,0,0,1,1.3,1.3,2.9%,NO,new_orleans_saints,2020,2,7.44,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
207,Tony Pollard,2,6,3.0,3,0,0,1,1,3,3.0,0,0,1,0.9,0.9,88.8%,TEN,tennessee_titans,2020,2,3.9,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
208,Jeremy Mcnichols,2,7,3.5,4,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.8%,WAS,washington_commanders,2020,2,4.22,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
209,Kyle Juszczyk,0,0,0.0,0,0,0,2,2,6,3.0,0,0,1,0.6,0.6,1.3%,SF,san_francisco_49ers,2020,2,0.5,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
214,C.J. Ham,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.6%,MIN,minnesota_vikings,2020,2,2.7,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Minnesota Vikings
227,Cordarrelle Patterson,7,25,3.6,10,0,0,2,2,8,4.0,0,0,1,0.0,0.0,1.0%,PIT,pittsburgh_steelers,2020,2,12.69,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
234,Samaje Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,3.6%,CIN,cincinnati_bengals,2020,2,0.0,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
235,Dare Ogunbowale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.5%,HOU,houston_texans,2020,2,0.0,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
238,Andrew Beck,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,NYJ,new_york_jets,2020,2,0.0,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,New York Jets
243,Ty Johnson,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,5.2%,BUF,buffalo_bills,2020,2,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
252,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DEN,denver_broncos,2020,2,0.0,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
348,Deejay Dallas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,ARI,arizona_cardinals,2020,3,0.0,Ford Field,Indoor,Turf,600.0,2002.0,Detroit,MI,42.34,-83.0456,Arizona Cardinals
286,Joe Mixon,17,49,2.9,11,0,0,2,3,16,8.0,0,0,1,6.5,6.5,96.9%,HOU,houston_texans,2020,3,27.64,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Houston Texans
278,Antonio Gibson,9,49,5.4,13,0,1,3,3,11,3.7,0,1,1,10.0,10.0,13.1%,NE,new_england_patriots,2020,3,29.36,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
276,Miles Sanders,18,95,5.3,19,0,0,4,8,12,3.0,0,0,1,10.7,10.7,12.0%,DAL,dallas_cowboys,2020,3,51.1,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Dallas Cowboys
363,Dare Ogunbowale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.5%,HOU,houston_texans,2020,3,0.0,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Houston Texans
366,Andrew Beck,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,NYJ,new_york_jets,2020,3,0.0,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,New York Jets
274,Devin Singletary,13,71,5.5,17,0,0,4,5,50,12.5,0,0,1,12.1,12.1,8.8%,NYG,new_york_giants,2020,3,40.52,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,New York Giants
