Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
193,Stephen Carlson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,chicago_bears,2020,2,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
185,Johnny Mundt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,JAC,jacksonville_jaguars,2020,2,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Jacksonville Jaguars
181,Ian Thomas,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,LV,las_vegas_raiders,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
179,Taysom Hill,0,0,0,0.0,0,0,0,2,8,0,0,1,0.0,0.0,19.9%,NO,new_orleans_saints,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
162,Sean Mckeon,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,indianapolis_colts,2020,2,0.0,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
161,Charlie Woerner,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,ATL,atlanta_falcons,2020,2,0.0,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Atlanta Falcons
156,Irv Smith Jr.,1,4,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,HOU,houston_texans,2020,2,2.06,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
151,Ross Dwelley,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,SF,san_francisco_49ers,2020,2,3.2,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
150,Chris Manhertz,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%,NYG,new_york_giants,2020,2,4.91,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,New York Giants
149,Will Dissly,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,8.3%,LAC,los_angeles_chargers,2020,2,5.48,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Los Angeles Chargers
146,Cole Kmet,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,26.4%,CHI,chicago_bears,2020,2,7.19,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
145,Harrison Bryant,1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.1%,PHI,philadelphia_eagles,2020,2,8.33,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
143,Dawson Knox,1,3,36,36.0,36,1,0,0,0,0,1,1,1.6,1.6,5.6%,BUF,buffalo_bills,2020,2,19.47,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
142,Adam Trautman,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.7%,DEN,denver_broncos,2020,2,10.04,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
139,Austin Hooper,2,4,22,11.0,11,0,0,0,0,0,0,1,2.2,2.2,3.5%,NE,new_england_patriots,2020,2,10.49,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,New England Patriots
136,Mark Andrews,1,3,29,29.0,29,1,0,0,0,0,0,1,2.9,2.9,94.0%,BAL,baltimore_ravens,2020,2,16.98,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
135,Dallas Goedert,4,8,30,7.5,11,0,0,0,0,0,0,1,3.0,3.0,80.5%,PHI,philadelphia_eagles,2020,2,13.22,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
134,Foster Moreau,1,1,31,31.0,31,1,0,0,0,0,0,1,3.1,3.1,1.4%,NO,new_orleans_saints,2020,2,18.12,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
131,Zach Ertz,5,7,42,8.4,12,0,0,0,0,0,0,1,4.2,4.2,48.5%,WAS,washington_commanders,2020,2,17.65,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
128,Drew Sample,7,9,45,6.4,10,0,0,0,0,0,0,1,4.5,4.5,0.6%,CIN,cincinnati_bengals,2020,2,18.81,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
126,T.J. Hockenson,4,4,62,15.5,29,1,0,0,0,0,0,1,6.2,6.2,94.4%,MIN,minnesota_vikings,2020,2,26.56,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Minnesota Vikings
125,Evan Engram,6,8,65,10.8,22,1,0,0,0,0,0,1,6.5,6.5,88.2%,DEN,denver_broncos,2020,2,26.82,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
122,Hunter Henry,6,8,83,13.8,22,1,0,0,0,0,0,1,8.3,8.3,48.4%,NE,new_england_patriots,2020,2,33.03,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,New England Patriots
121,Robert Tonyan,2,3,25,12.5,14,0,1,0,0,0,0,1,8.5,8.5,0.0%,KC,kansas_city_chiefs,2020,2,16.68,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
117,Dalton Schultz,9,10,88,9.8,18,0,1,0,0,0,1,1,12.8,12.8,23.5%,HOU,houston_texans,2020,2,37.78,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
115,Noah Fant,4,5,57,14.3,22,2,1,0,0,0,0,1,13.7,13.7,17.3%,SEA,seattle_seahawks,2020,2,30.28,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Seattle Seahawks
114,Travis Kelce,9,14,90,10.0,20,1,1,0,0,0,0,1,15.0,15.0,95.2%,KC,kansas_city_chiefs,2020,2,40.25,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
113,Darren Waller,12,16,105,8.8,18,0,1,0,0,0,0,1,16.5,16.5,6.9%,MIA,miami_dolphins,2020,2,45.62,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
111,Mike Gesicki,8,11,130,16.3,27,2,1,0,0,0,0,1,19.0,19.0,33.7%,CIN,cincinnati_bengals,2020,2,54.45,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
110,Jonnu Smith,4,5,84,21.0,63,1,2,0,0,0,0,1,20.4,20.4,89.6%,PIT,pittsburgh_steelers,2020,2,47.23,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
227,Zach Ertz,7,10,70,10.0,30,1,0,0,0,0,0,1,7.0,7.0,48.5%,WAS,washington_commanders,2020,3,29.45,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Washington Commanders
236,Hunter Henry,5,7,50,10.0,16,0,0,0,0,0,0,1,5.0,5.0,48.4%,NE,new_england_patriots,2020,3,20.85,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
295,Johnny Mundt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,JAC,jacksonville_jaguars,2020,3,0.0,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Jacksonville Jaguars
218,Robert Tonyan,5,5,50,10.0,16,0,1,0,0,0,0,1,11.0,11.0,0.0%,KC,kansas_city_chiefs,2020,3,25.55,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
320,James Winchester,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,kansas_city_chiefs,2020,3,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
319,Tyler Ott,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,washington_commanders,2020,3,0.0,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Washington Commanders
288,Pharaoh Brown,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,MIA,miami_dolphins,2020,3,0.0,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Miami Dolphins
315,Zach Wood,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%,NO,new_orleans_saints,2020,3,0.0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,New Orleans Saints
221,Travis Kelce,6,7,87,14.5,29,1,0,0,0,0,0,1,8.7,8.7,95.2%,KC,kansas_city_chiefs,2020,3,35.12,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
287,Taysom Hill,1,1,1,1.0,1,0,0,2,6,0,1,1,0.0,0.0,19.9%,NO,new_orleans_saints,2020,3,0.75,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,New Orleans Saints
222,Foster Moreau,2,2,25,12.5,24,1,1,0,0,0,0,1,8.5,8.5,1.4%,NO,new_orleans_saints,2020,3,17.77,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,New Orleans Saints
278,Cole Kmet,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,26.4%,CHI,chicago_bears,2020,3,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
273,Lawrence Cager,2,4,35,17.5,19,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,washington_commanders,2020,3,13.98,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Washington Commanders
272,Sean Mckeon,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,indianapolis_colts,2020,3,0.0,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
271,Charlie Woerner,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,ATL,atlanta_falcons,2020,3,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Atlanta Falcons
270,Drew Sample,1,1,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1,0.6%,CIN,cincinnati_bengals,2020,3,0.92,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Cincinnati Bengals
267,Will Dissly,2,2,5,2.5,6,0,0,0,0,0,0,1,0.5,0.5,8.3%,LAC,los_angeles_chargers,2020,3,3.28,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Los Angeles Chargers
265,Dallas Goedert,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,80.5%,PHI,philadelphia_eagles,2020,3,4.34,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
264,Durham Smythe,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.6%,CHI,chicago_bears,2020,3,4.34,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
