Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,42,Cj Anderson,los_angeles_rams,3.5,18.95,5.0,3.5,3.5,0,0,7,0,0,0.0,35,9,0,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
2018,1,43,Spencer Ware,kansas_city_chiefs,4.0,18.4,10.7,4.0,4.0,0,0,3,1,1,8.0,32,27,1,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,44,Marcus Murphy,buffalo_bills,3.1,16.88,5.2,3.1,3.1,0,0,6,0,2,0.0,31,9,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,45,Jalen Richard,unknown,7.9,16.87,4.8,7.9,7.9,0,0,5,9,11,6.1,24,9,0,,,,,,,,,,,,,,,,
2018,1,46,Tevin Coleman,atlanta_falcons,10.5,15.52,2.1,10.5,10.5,1,0,9,1,2,26.0,19,9,0,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,47,James White,new_england_patriots,11.6,15.34,3.6,11.6,11.6,0,0,5,4,9,9.5,18,11,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,48,Chase Edmonds,arizona_cardinals,4.8,14.9,6.0,4.8,4.8,0,0,4,4,4,6.0,24,9,0,2018-09-09,4:25PM,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070.0,2006.0,40.2,0.0,57.24,17.0,1004.5
2018,1,49,Tarik Cohen,chicago_bears,4.1,14.85,5.0,4.1,4.1,0,0,5,3,4,5.3,25,11,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,50,Derrick Henry,tennessee_titans,3.1,14.74,2.6,3.1,3.1,0,0,10,1,1,5.0,26,5,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,51,Corey Clement,philadelphia_eagles,2.6,14.28,5.2,2.6,2.6,0,0,5,0,0,0.0,26,21,1,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
