Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,45,Rashard Higgins,cleveland_browns,3.8,15.65,3.8,3.8,0,0,1,3,38.0,1,38,0,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,46,Courtland Sutton,denver_broncos,4.5,15.52,4.5,4.5,0,0,2,5,22.5,2,45,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,47,Brandon Marshall,denver_broncos,10.6,15.44,10.6,10.6,0,0,3,6,15.3,1,46,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,48,Brandon Marshall,new_orleans_saints,10.6,15.44,10.6,10.6,0,0,3,6,15.3,1,46,1,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,49,Brandon Marshall,seattle_seahawks,10.6,15.44,10.6,10.6,0,0,3,6,15.3,1,46,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,50,Sterling Shepard,new_york_giants,4.8,15.19,4.8,4.8,0,0,5,7,9.6,0,48,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,51,Ty Hilton,indianapolis_colts,10.6,15.13,10.6,10.6,0,0,5,11,9.2,0,46,1,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,52,John Brown,baltimore_ravens,10.5,14.86,10.5,10.5,0,1,3,4,14.7,1,44,1,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,53,Stefon Diggs,minnesota_vikings,11.1,14.54,11.1,11.1,0,1,3,6,14.3,1,43,1,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,54,Chris Godwin,tampa_bay_buccaneers,10.1,13.86,10.1,10.1,0,0,3,4,13.7,0,41,1,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,55,Devin Funchess,carolina_panthers,4.1,13.36,4.1,4.1,0,0,3,5,13.7,0,41,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,56,Michael Crabtree,baltimore_ravens,9.8,13.06,9.8,9.8,0,0,3,6,12.7,1,38,1,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,57,Bruce Ellington,detroit_lions,9.7,12.54,9.7,9.7,0,0,4,8,9.3,0,37,1,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,58,Bruce Ellington,houston_texans,9.7,12.54,9.7,9.7,0,0,4,8,9.3,0,37,1,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
