city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Atlanta,GA,Mercedes-Benz Stadium,2018-10-22,8:15PM,33.755,-84.4008,America/New_York,11.6,0.0,28.44,70,1023.7
Houston,TX,NRG Stadium,2018-10-25,8:20PM,29.6847,-95.4107,America/Chicago,17.7,0.0,35.64,76,1012.7
Jacksonville,FL,TIAA Bank Field,2018-10-28,9:30AM,30.3239,-81.6373,America/New_York,16.0,0.0,38.88,69,1022.5
Charlotte,NC,Bank of America Stadium,2018-10-28,1:00PM,35.2258,-80.8528,America/New_York,15.5,0.0,57.96000000000001,56,1017.5
Chicago,IL,Soldier Field,2018-10-28,1:00PM,41.8623,-87.6167,America/Chicago,9.4,0.2,126.72000000000001,75,1002.4
Detroit,MI,Ford Field,2018-10-28,1:00PM,42.34,-83.0456,America/Detroit,6.9,0.6,59.760000000000005,87,1005.8
Cincinnati,OH,Paycor Stadium,2018-10-28,1:00PM,39.0954,-84.516,America/New_York,15.2,0.2,78.84,68,1005.3
Pittsburgh,PA,Acrisure Stadium,2018-10-28,1:00PM,40.4468,-80.0158,America/New_York,10.0,0.0,59.760000000000005,65,1009.3
Kansas City,MO,GEHA Field at Arrowhead Stadium,2018-10-28,1:00PM,39.049,-94.4839,America/Chicago,15.7,0.0,56.88,44,1020.0
East Rutherford,NJ,MetLife Stadium,2018-10-28,1:00PM,40.8136,-74.0744,America/New_York,10.7,0.0,61.92,69,1008.8
Las Vegas,NV,Allegiant Stadium,2018-10-28,4:05PM,36.0908,-115.183,America/Los_Angeles,25.7,0.0,50.76,23,1013.7
Inglewood,CA,SoFi Stadium,2018-10-28,4:25PM,33.9535,-118.3392,America/Los_Angeles,19.6,0.0,60.839999999999996,74,1014.6
Glendale,AZ,State Farm Stadium,2018-10-28,4:25PM,33.5275,-112.2625,America/Phoenix,30.0,0.0,19.8,29,1013.0
Minneapolis,MN,U.S. Bank Stadium,2018-10-28,8:20PM,44.974,-93.2581,America/Chicago,6.7,0.0,45.0,74,1016.1
Orchard Park,NY,Highmark Stadium,2018-10-29,8:15PM,42.7738,-78.7868,America/New_York,7.6,0.0,87.84,55,1014.9
Santa Clara,CA,Levi's Stadium,2018-11-01,8:20PM,37.403,-121.9692,America/Los_Angeles,19.3,0.0,21.6,62,1019.2
Landover,MD,FedExField,2018-11-04,1:00PM,38.9078,-76.8645,America/New_York,12.1,0.0,28.8,52,1033.3
Charlotte,NC,Bank of America Stadium,2018-11-04,1:00PM,35.2258,-80.8528,America/New_York,15.0,0.0,39.24,55,1028.7
Baltimore,MD,M&T Bank Stadium,2018-11-04,1:00PM,39.2779,-76.6227,America/New_York,11.2,0.0,34.2,58,1033.6
