year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2020.0,bdf26c52960a4ebceeefb09e1c7ba64a,Tyler Conklin,DET,TE,16.0,25.4,44.4,1.59,2.8,194.0,1.0
2020.0,08af7338699bdb25de3a6218dbb7c42c,Donald Parham Jr.,FA,TE,13.0,33.9,43.9,2.61,3.4,159.0,3.0
2020.0,5cdc733b8ed2a5d5b4758c04d25a42f1,Pharaoh Brown,FA,TE,13.0,28.299999999999997,42.3,2.18,3.3,163.0,2.0
2020.0,98439e2a31bb00de41e8bd2f2822ae99,Tyler Kroft,FA,TE,10.0,29.9,41.9,2.99,4.2,119.0,3.0
2020.0,f30244e0953bd6652d50ee3da85b9c0d,Ian Thomas,FA,TE,16.0,20.5,40.5,1.28,2.5,145.0,1.0
2020.0,27f1f1283b1d0cfbc02938f68569032b,Jesse James,FA,TE,16.0,24.9,38.9,1.56,2.4,129.0,2.0
2020.0,e3e45c51857ffbe1ac3a41b37e69ea91,Marcedes Lewis,FA,TE,15.0,28.700000000000003,38.7,1.91,2.6,107.0,3.0
2020.0,5fa374ddb6b00946fcfa8924d3532dfb,Adam Trautman,DEN,TE,15.0,23.1,38.1,1.54,2.5,171.0,1.0
2020.0,8ea32baa70a978833343ffc02c51e27e,O.J. Howard,FA,TE,4.0,26.6,37.6,6.65,9.4,146.0,2.0
2020.0,b3399b673cfbf5438c29484f12a2cecd,Nick Boyle,FA,TE,9.0,23.299999999999997,37.3,2.59,4.1,113.0,2.0
2020.0,27efd39ba876350d8dd4bd55b8e9e776,Foster Moreau,HOU,TE,16.0,26.0,33.0,1.62,2.1,140.0,2.0
2020.0,f09b8b4f6d2689056e9f3d138b8a3802,Jason Witten,FA,TE,16.0,18.9,31.9,1.18,2.0,69.0,2.0
2020.0,b9a231d0d66a75b59bba57327a9aa1d2,Ryan Izzo,FA,TE,12.0,17.9,30.9,1.49,2.6,199.0,0.0
2020.0,b5d889d29c473772caa31c4b00c9bb2d,Nick Vannett,LAR,TE,15.0,15.5,29.5,1.03,2.0,95.0,1.0
2020.0,af44bf440e7d24e6d9d6bde26b8c227d,Jace Sternberger,FA,TE,12.0,17.4,29.4,1.45,2.5,114.0,1.0
2020.0,cba4342951ca3771f23a5ea49baa231d,Kaden Smith,FA,TE,15.0,11.2,29.2,0.75,1.9,112.0,0.0
